Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","1,113,000","1,106,000","1,204,000","931,000","1,107,000","1,643,000","1,352,000","1,695,000","1,294,000","1,258,000","1,796,000","1,271,000","924,000","1,241,000","1,149,000","901,000","1,223,000","670,000","468,000","468,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"6,052,000","6,997,000","5,522,000","6,113,000","6,739,000","4,234,000","3,508,000","3,486,000","2,329,000","20,028,000","2,208,000","2,040,000","1,286,000","985,000","1,099,000","700,000","773,000","434,000","598,000","771,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,165,000","8,103,000","6,726,000","7,044,000","7,846,000","5,877,000","4,860,000","5,181,000","3,623,000","21,286,000","4,004,000","3,311,000","2,210,000","2,226,000","2,248,000","1,601,000","1,996,000","1,104,000","1,066,000","1,239,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,165,000","-8,103,000","-6,726,000","-7,044,000","-7,846,000","-5,877,000","-4,860,000","-5,181,000","-3,623,000","-21,286,000","-4,004,000","-3,311,000","-2,210,000","-2,226,000","-2,248,000","-1,601,000","-1,996,000","-1,104,000","-1,066,000","-1,239,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-442,000","-59,000","-63,000","-72,000","-71,000","-70,000","-102,000","-181,000","-87,000","-16,000","-3,000","-3,000","-2,000","-4,000","-3,000","-5,000","-3,000","-4,000","-4,000","-7,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"9,000","49,000","49,000","16,000","4,000","6,000","2,000","1,000",-,"1,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"435,000","200,000","-469,000","622,000","-382,000","-82,000","-167,000","611,000","-754,000","-848,000",-,"9,000","-335,000","-148,000","-122,000","550,000","239,000","649,000","-820,000","-99,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"48,000",-,"-8,000",-,-,-,-,-,-,"311,000",-,-,-,-,-,-,-,-,"287,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,172,000","-7,914,000","-7,258,000","-6,493,000","-8,250,000","-5,980,000","-5,113,000","-4,747,000","-4,458,000","-22,148,000","-3,695,000","-3,305,000","-2,546,000","-2,378,000","-2,373,000","-1,056,000","-1,760,000","-459,000","-1,890,000","-1,058,000",Upgrade,Financials in USD,Fiscal year is January - December
