Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","470,768","373,668","781,916","506,950","480,875","539,877","1,077,049","607,588","533,538","464,367","573,667","361,440","856,059","627,548","850,117","623,858","908,099","693,405","414,120","265,482",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"360,857","820,011","356,213","359,402","514,505","365,588","338,500","465,153","482,505","569,510","479,005","225,345","459,273","367,551","271,239","211,870","257,546","209,926","319,212","277,783",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"831,625","1,193,679","1,138,129","866,352","995,380","905,465","1,415,549","1,072,741","1,016,043","1,033,877","1,052,672","586,785","1,315,332","995,099","1,121,356","835,728","1,165,645","903,331","733,332","543,265",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-831,625","-1,193,679","-1,138,129","-866,352","-995,380","-905,465","-1,415,549","-1,072,741","-1,016,043","-1,033,877","-1,052,672","-586,785","-1,315,332","-995,099","-1,121,356","-835,728","-1,165,645","-903,331","-733,332","-543,265",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-504,859","-306,255","-143,077","-51,851","-342,758","-378,059","-276,018","-264,532","-236,263","-251,717","-239,903","-154,803","-484,236","-318,014","-403,650","-438,372","-272,976","-130,107","-95,951","-60,970",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-98,550","11,146","5,800","10,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,977","-255,300",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,435,034","-1,488,788","-1,275,406","-907,303","-1,338,138","-1,283,524","-1,691,567","-1,337,273","-1,252,306","-1,285,594","-1,292,575","-741,588","-1,799,568","-1,313,113","-1,525,006","-1,274,100","-1,438,621","-1,033,438","-812,306","-859,535",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"-142,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"17,893",-,-,-,-,"41,920",-,-,-,-,-,"-93,425",-,-,265,-,"130,991","-131,250","-1,441","283,500",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,417,141","-1,488,788","-1,275,406","-1,049,903","-1,338,138","-1,241,604","-1,691,567","-1,337,273","-1,252,306","-1,285,594","-1,292,575","-835,013","-1,799,568","-1,313,113","-1,524,741","-1,274,100","-1,307,630","-1,164,688","-813,747","-576,035",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,417,141","-1,488,788","-1,275,406","-1,049,903","-1,338,138","-1,241,604","-1,691,567","-1,337,273","-1,252,306","-1,285,594","-1,292,575","-835,013","-1,799,568","-1,313,113","-1,524,741","-1,274,100","-1,307,630","-1,164,688","-813,747","-576,035",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"350,984","339,871","326,665","321,169","309,150","300,849","297,517","287,771","299,827","244,971","324,917","277,749","246,192","225,873","223,391","228,355","226,191","211,885","211,305","207,062",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,768,125","-1,828,659","-1,602,071","-1,371,072","-1,647,288","-1,542,453","-1,989,084","-1,625,044","-1,552,133","-1,530,565","-1,617,492","-1,112,762","-2,045,760","-1,538,986","-1,748,132","-1,502,455","-1,533,821","-1,376,573","-1,025,052","-783,097",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"42,426,449","41,019,348","40,507,352","38,668,206","38,191,731","37,213,515","37,059,766","35,256,643","35,240,745","34,438,057","34,400,181","33,775,886","33,461,141","32,663,482","32,556,476","25,391,064","31,846,661","30,020,692","29,120,597","28,526,023",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"42,426,449","41,019,348","40,507,352","38,668,206","38,191,731","37,213,515","37,059,766","35,256,643","35,240,745","34,438,057","34,400,181","33,775,886","33,461,141","32,663,482","32,556,476","25,391,064","31,846,661","30,020,692","29,120,597","28,526,023",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.088%,10.227%,9.303%,9.676%,8.374%,8.059%,7.731%,4.384%,5.318%,5.433%,5.663%,33.023%,5.070%,8.803%,11.799%,-10.990%,11.651%,6.687%,3.553%,2.499%,Upgrade,Financials in USD,Fiscal year is January - December
