Fiscal Quarter,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Currency,Fiscal_Year_period
Period Ending,"Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",,
Revenue,-,"5,000","80,000","80,000","4,500","20,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-75.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,"5,000","80,000","80,000","4,500","20,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","52,558","22,057","25,894","25,894","95,483","90,280",Financials in USD,Fiscal year is January - December
Research & Development,"2,000",-,"11,000","11,000","-38,980","13,480",Financials in USD,Fiscal year is January - December
Operating Expenses,"54,558","22,057","36,894","36,894","56,503","103,760",Financials in USD,Fiscal year is January - December
Operating Income,"-54,558","-17,057","43,106","43,106","-52,003","-83,760",Financials in USD,Fiscal year is January - December
Pretax Income,"-54,558","-17,057","43,106","43,106","-52,003","-83,760",Financials in USD,Fiscal year is January - December
Net Income,"-54,558","-17,057","43,106","43,106","-52,003","-83,760",Financials in USD,Fiscal year is January - December
Net Income to Common,"-54,558","-17,057","43,106","43,106","-52,003","-83,760",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"53,808,867","137,151,440","29,547","29,547","29,247","29,647",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"53,808,867","137,151,440","29,547","29,547","29,247","29,647",Financials in USD,Fiscal year is January - December
Shares Change (YoY),183880.808%,462514.902%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.001,-0.000,1.459,1.459,-1.778,-2.825,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.001,-0.000,1.459,1.459,-1.778,-2.825,Financials in USD,Fiscal year is January - December
Free Cash Flow,"121,443","-24,695","-23,769","-23,769","-23,003",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.002,-0.000,-0.804,-0.804,-0.787,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-341.140%,53.883%,53.883%,-1155.622%,-418.800%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-341.140%,53.883%,53.883%,-1155.622%,-418.800%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-493.900%,-29.711%,-29.711%,-511.178%,-,Financials in USD,Fiscal year is January - December
EBIT,"-54,558","-17,057","43,106","43,106","-52,003","-83,760",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,53.883%,53.883%,-,-,Financials in USD,Fiscal year is January - December
