Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"2,601,000","33,492,000","4,931,000","2,002,000",-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-43.110%,579.213%,146.304%,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"2,601,000","33,492,000","4,931,000","2,002,000",-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,422,000","13,912,000","20,776,000","12,864,000","4,426,000","2,092,363",Financials in USD,Fiscal year is January - December
Research & Development,"48,164,000","50,251,000","43,984,000","42,410,000","13,845,000","1,322,182",Financials in USD,Fiscal year is January - December
Operating Expenses,"63,586,000","64,163,000","64,760,000","55,274,000","18,271,000","3,414,545",Financials in USD,Fiscal year is January - December
Operating Income,"-60,985,000","-30,671,000","-59,829,000","-53,272,000","-18,271,000","-3,414,545",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-199,000","-264,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,755,000","2,535,000","1,294,000",-,"2,000","31,636",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,874,000","-412,000","-200,000","-18,553,000","477,000","-702,545",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-61,104,000","-28,548,000","-58,735,000","-71,825,000","-17,991,000","-4,349,454",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-100,000","-100,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-61,204,000","-28,648,000","-58,735,000","-71,825,000","-17,991,000","-4,349,454",Financials in USD,Fiscal year is January - December
Income Tax Expense,"72,000","72,000","53,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-61,276,000","-28,720,000","-58,788,000","-71,825,000","-17,991,000","-4,349,454",Financials in USD,Fiscal year is January - December
Net Income to Common,"-61,276,000","-28,720,000","-58,788,000","-71,825,000","-17,991,000","-4,349,454",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,364,815","802,767","766,740","685,822","631,492","609,610",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,364,815","802,767","766,740","685,822","631,492","609,610",Financials in USD,Fiscal year is January - December
Shares Change (YoY),589.845%,4.699%,11.799%,8.603%,3.590%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-11.422,-35.776,-76.673,-104.728,-28.490,-7.135,Financials in USD,Fiscal year is January - December
EPS (Diluted),-11.423,-35.776,-76.673,-104.728,-28.490,-7.135,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-52,271,000","-50,688,000","-57,128,000","-17,028,000","-13,825,000","-3,445,090",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-9.743,-63.142,-74.508,-24.829,-21.893,-5.651,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-2344.675%,-91.577%,-1213.324%,-2660.939%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-2355.863%,-85.752%,-1192.213%,-3587.662%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2009.650%,-151.344%,-1158.548%,-850.549%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-58,574,000","-28,405,000","-58,671,000","-53,024,000","-18,198,000","-3,402,545",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-84.811%,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,411,000","2,266,000","1,158,000","248,000","73,000","12,000",Financials in USD,Fiscal year is January - December
EBIT,"-60,985,000","-30,671,000","-59,829,000","-53,272,000","-18,271,000","-3,414,545",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-91.577%,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"2,601,000","33,492,000","4,931,000",-,-,-,Financials in USD,Fiscal year is January - December
